Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1539732243225586,-0.09155413138023505,-1.3122758831159445,8.819714656290444
1539732243241588,-1.3122758831159445,-1.8616006713969,8.33142595559616
1539732243257591,-2.288853284504512,-2.3498893720911838,7.721065079728305
1539732243273594,-2.7771419851987957,-2.8992141603723667,6.9886320286868795
1539732243289596,-2.655069810025225,-3.814755474174035,6.500343327992596
1539732243305599,-1.6784924086366573,-5.279621576256886,5.95101853971164
1539732243321601,-0.33569848172737693,-6.8665598535133086,5.3406576638437855
1539732243337604,0.7019150072480898,-8.45349813076973,4.730296787975931
1539732243353607,1.0681315327688026,-9.73525597009234,4.242008087281647
1539732243369609,0.7019150072480898,-10.345616845960194,4.058899824521177
1539732243385612,0.2746623941404778,-10.467689021133765,3.692683299000464
1539732243401615,0.03051804379333589,-10.223544670786623,3.0823224231326094
1539732243417617,-0.15259021896690683,-9.55214770733187,2.105745021744042
1539732243433620,-0.9460593575952316,-7.782101167315204,0.8239871824216607
1539732243449623,-2.288853284504512,-5.462729839017356,-1.0070954451819034
1539732243465625,-3.1433585107195086,-3.3264667734797513,-2.8992141603723667
1539732243481628,-3.3875028610666504,-1.983672846570471,-4.60822461280236
1539732243497631,-3.2654306858930795,-1.3733119707026162,-5.95101853971164
1539732243513633,-3.3264667734797513,-0.9460593575952316,-6.622415503166167
1539732243529636,-3.570611123826893,-0.7629510948347615,-6.561379415579495
1539732243545623,-3.570611123826893,-0.8239871824216607,-5.706874189364498
1539732243561626,-3.3875028610666504,-1.1902037079423735,-4.486152437628789
1539732243577629,-3.0823224231326094,-1.6784924086366573,-3.2654306858930795
1539732243593631,-2.4719615472647547,-2.227817196917613,-2.105745021744042
1539732243609634,-1.739528496223329,-2.8381780727854675,-0.7629510948347615
1539732243625637,-1.2512397955290453,-3.1433585107195086,0.5798428320745188
1539732243641639,-0.9460593575952316,-3.1433585107195086,1.8616006713969
1539732243657642,-0.5798428320745188,-3.5095750362402214,3.5095750362402214
1539732243673645,0.03051804379333589,-4.547188525215461,5.401693751430457
1539732243689647,0.3967345693140487,-5.462729839017356,6.927595941100208
1539732243705650,0.15259021896690683,-5.645838101777599,7.598992904554734
1539732243721653,-0.15259021896690683,-4.974441138323073,7.4158846417944915
1539732243737655,0.09155413138023505,-3.997863736934505,6.622415503166167
1539732243753658,0.7629510948347615,-3.0212863355459376,5.76791027695117
1539732243769661,1.3122758831159445,-2.166781109330941,5.279621576256886
1539732243785663,0.5188067444876197,-1.3122758831159445,5.279621576256886
1539732243801666,-1.4953841458761872,0.15259021896690683,5.096513313496644
1539732243817669,-3.1433585107195086,1.6784924086366573,4.60822461280236
1539732243833671,-3.4485389486533222,2.227817196917613,4.180971999694748
1539732243849674,-2.410925459678083,1.9226367589837992,4.058899824521177
1539732243865692,-1.6174563210497581,1.739528496223329,3.814755474174035
1539732243881694,-1.3733119707026162,1.6174563210497581,3.6316472114137923
1539732243897697,-1.2512397955290453,1.1902037079423735,3.875791561760934
1539732243913700,-1.0681315327688026,0.09155413138023505,4.852368963149502
1539732243929702,-0.6408789196611906,-1.5564202334630863,6.012054627298312
1539732243945705,0.03051804379333589,-3.5095750362402214,6.8665598535133086
1539732243961708,1.5564202334630863,-5.3406576638437855,6.9886320286868795
1539732243977710,4.119935912108076,-7.049668116273779,6.744487678339738
1539732243993713,6.805523765926637,-9.063859006637585,6.8665598535133086
1539732244009716,8.392462043183059,-10.833905546654478,7.354848554207592
1539732244025718,8.087281605249018,-12.054627298390187,7.598992904554734
1539732244041721,6.805523765926637,-12.176699473563758,6.9886320286868795
1539732244057724,5.584802014190927,-10.711833371480907,5.157549401083315
1539732244073726,4.669260700389032,-7.904173342488775,1.9226367589837992
1539732244089729,3.692683299000464,-4.242008087281647,-2.288853284504512
1539732244105732,3.1433585107195086,-0.6408789196611906,-6.683451590753066
1539732244121734,3.1433585107195086,2.166781109330941,-10.406652933546866
1539732244137737,3.3264667734797513,3.997863736934505,-13.092240787365427
1539732244153740,2.9602502479590385,4.730296787975931,-14.618142977035177
1539732244169742,2.288853284504512,4.852368963149502,-15.045395590142562
1539732244185852,2.04470893415737,4.42511635004189,-14.618142977035177
1539732244201855,2.105745021744042,3.7537193865873633,-13.397421225299468
1539732244217858,2.7161058976118966,3.0212863355459376,-11.749446860456146
1539732244233861,3.5095750362402214,2.655069810025225,-9.491111619745197
1539732244249864,4.669260700389032,2.532997634851654,-6.622415503166167
1539732244265867,6.073090714885211,1.739528496223329,-3.0212863355459376
1539732244281870,7.537956816968062,0.15259021896690683,1.3733119707026162
1539732244297874,7.2938124666209205,-1.8616006713969,5.645838101777599
1539732244313877,4.791332875562603,-3.3264667734797513,8.6366063935302
1539732244329880,1.739528496223329,-3.875791561760934,9.979400320439481
1539732244345883,0.2746623941404778,-4.180971999694748,10.101472495613052
