Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1539131036626709,-9.124895094224485,13.397421225299468,-3.3264667734797513
1539131036642705,-7.17174029144735,9.85732814526591,0.03051804379333589
1539131036658702,2.5940337224383256,5.462729839017356,4.303044174868319
1539131036674698,17.42580300602731,1.4343480582895154,7.965209430075447
1539131036690694,30.36545357442583,-1.2512397955290453,9.979400320439481
1539131036706691,35.73662928206295,-3.692683299000464,9.85732814526591
1539131036722687,31.158922713053926,-6.683451590753066,8.087281605249018
1539131036738684,21.45418478675515,-9.430075532158298,6.012054627298312
1539131036754680,11.688410772869474,-11.566338597695903,3.936827649347606
1539131036770677,1.1291676203554744,-12.909132524605184,1.8616006713969
1539131036786673,-10.772869459067579,-12.848096437018285,-0.2746623941404778
1539131036802670,-23.163195239185143,-12.176699473563758,-3.0212863355459376
1539131036818666,-34.63797970550104,-10.406652933546866,-5.523765926604028
1539131036834663,-43.305104142824575,-7.049668116273779,-7.598992904554734
1539131036850659,-50.20218204013122,-2.9602502479590385,-9.796292057679011
1539131036866655,-51.97222858014811,1.4953841458761872,-11.993591210803288
1539131036882652,-45.807583733882666,5.096513313496644,-12.909132524605184
1539131036898648,-31.280994888227724,7.660028992141633,-12.359807736324
1539131036914645,-14.862287327382319,8.33142595559616,-10.528725108720437
1539131036930641,-2.8381780727854675,8.51453421835663,-7.598992904554734
1539131036946594,3.2043945983061803,9.491111619745197,-4.60822461280236
1539131036962590,2.8992141603723667,10.040436408026153,-1.4953841458761872
1539131036978586,-1.0681315327688026,10.101472495613052,0.9460593575952316
1539131036994582,-1.8005645838102282,9.430075532158298,3.2654306858930795
1539131037010578,4.303044174868319,8.392462043183059,6.073090714885211
1539131037026574,15.838864728770886,7.537956816968062,7.965209430075447
1539131037042570,24.07873655298681,6.805523765926637,7.537956816968062
1539131037058566,22.186617837796575,5.523765926604028,4.852368963149502
1539131037074562,8.33142595559616,3.2043945983061803,0.8239871824216607
1539131037090558,-7.049668116273779,2.288853284504512,-2.8381780727854675
1539131037106554,-16.815442130159454,2.7771419851987957,-5.2185854886702145
1539131037122550,-23.346303501945386,3.0212863355459376,-6.073090714885211
1539131037138546,-24.13977264057371,3.5095750362402214,-5.2185854886702145
1539131037154542,-20.294499122606112,4.60822461280236,-4.119935912108076
1539131037170538,-19.80621042191183,5.279621576256886,-3.7537193865873633
1539131037186534,-23.163195239185143,6.073090714885211,-3.570611123826893
1539131037202530,-25.543602655069662,6.622415503166167,-3.5095750362402214
1539131037218526,-25.29945830472252,6.683451590753066,-3.3264667734797513
1539131037234521,-22.064545662623004,6.012054627298312,-2.532997634851654
1539131037250517,-15.716792553597315,4.9134050507361735,-1.0070954451819034
1539131037266479,-9.979400320439481,3.692683299000464,0.45777065690094787
1539131037282475,-7.17174029144735,1.983672846570471,1.3122758831159445
1539131037298471,-7.17174029144735,-0.3967345693140487,2.288853284504512
1539131037314467,-8.6366063935302,-2.7771419851987957,3.570611123826893
1539131037330463,-10.406652933546866,-4.974441138323073,4.486152437628789
1539131037346459,-10.833905546654478,-7.049668116273779,4.730296787975931
1539131037362455,-7.4158846417944915,-9.185931181811156,4.60822461280236
1539131037378451,-1.8005645838102282,-11.20012207217519,4.058899824521177
1539131037394447,1.4953841458761872,-12.359807736324,3.2043945983061803
1539131037410443,5.3406576638437855,-12.298771648737329,2.3498893720911838
1539131037426439,7.843137254901876,-10.955977721828049,1.0681315327688026
1539131037442435,10.223544670786623,-9.185931181811156,-0.45777065690094787
1539131037458431,11.505302510109004,-7.843137254901876,-1.739528496223329
1539131037474427,12.115663385976859,-6.9886320286868795,-2.288853284504512
1539131037490423,11.993591210803288,-6.500343327992596,-2.410925459678083
1539131037506419,15.350576028076603,-5.828946364538069,-2.4719615472647547
1539131037522415,18.036163881895163,-5.096513313496644,-2.532997634851654
1539131037538411,17.914091706721592,-4.547188525215461,-2.410925459678083
1539131037554407,15.533684290836845,-3.7537193865873633,-1.8616006713969
1539131037570403,10.406652933546866,-2.8992141603723667,-1.1902037079423735
1539131037586151,7.354848554207592,-1.6784924086366573,-0.7019150072480898
1539131037602146,8.148317692835917,-0.3967345693140487,-0.33569848172737693
1539131037618141,9.85732814526591,0.8850232700083325,-0.2746623941404778
1539131037634136,11.810482948043045,2.3498893720911838,-0.6408789196611906
1539131037650131,9.613183794918768,3.6316472114137923,-1.3733119707026162
1539131037666126,3.7537193865873633,4.119935912108076,-2.532997634851654
1539131037682121,-3.875791561760934,3.997863736934505,-3.875791561760934
1539131037698116,-9.918364232852582,3.570611123826893,-4.791332875562603
1539131037714111,-14.740215152208748,3.570611123826893,-5.401693751430457
1539131037730106,-16.937514305333025,2.655069810025225,-4.9134050507361735
1539131037746101,-10.528725108720437,-0.2746623941404778,-2.7771419851987957
1539131037762096,6.073090714885211,-4.60822461280236,0.8239871824216607
1539131037778091,22.247653925383247,-6.195162890058782,4.42511635004189
