,,,,,,,
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,61.33781,61.35324,0.015437
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,71.11803,71.17735,0.059318
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,81.29839,81.30549,0.007092
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,101.7713,101.8178,0.046494
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,111.8717,111.9299,0.058249
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,131.7843,131.8342,0.049863
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,142.0128,142.0743,0.061566
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,151.729,151.7865,0.057461
subject5,patellar,exercise,HAMYPeakT,RESYPeakT,161.6053,161.6746,0.0693
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,0,0,0
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,31.83715,31.84884,0.011695
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,40.75296,40.82496,0.071993
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,51.31751,51.36908,0.051567
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,61.33781,61.35324,0.015437
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,71.11803,71.19335,0.075318
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,91.35079,91.41763,0.066838
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,101.7713,101.8018,0.030494
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,111.8717,111.9299,0.058249
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,120.4354,120.506,0.070681
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,131.7843,131.8502,0.065863
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,142.0128,142.0583,0.045566
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,151.729,151.7705,0.04146
subject5,patellar,exercise,HAMYPeakT,RESZPeakT,161.6053,161.6586,0.0533
