Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1539731780139984,20.965896086060866,7.4158846417944915,2.655069810025225
1539731780155985,37.628747997253186,6.500343327992596,2.8992141603723667
1539731780171987,39.39879453727008,5.157549401083315,2.4719615472647547
1539731780187989,27.86297398336751,4.486152437628789,0.7629510948347615
1539731780203991,15.10643167772946,5.0354772259097444,-0.5188067444876197
1539731780219992,6.8665598535133086,5.462729839017356,-1.0070954451819034
1539731780235994,7.4158846417944915,6.012054627298312,-0.15259021896690683
1539731780251996,13.58052948805971,6.683451590753066,1.739528496223329
1539731780267997,21.026932173647538,6.744487678339738,3.1433585107195086
1539731780283999,28.351262684061794,6.683451590753066,4.669260700389032
1539731780300001,29.449912260623933,6.561379415579495,6.439307240405924
1539731780316002,20.965896086060866,5.95101853971164,6.927595941100208
1539731780332004,8.819714656290444,5.706874189364498,6.439307240405924
1539731780348006,-2.227817196917613,5.462729839017356,5.828946364538069
1539731780364008,-5.462729839017356,4.974441138323073,5.523765926604028
1539731780380009,-3.2043945983061803,4.42511635004189,5.462729839017356
1539731780396011,-1.3122758831159445,3.5095750362402214,5.279621576256886
1539731780412013,-3.0823224231326094,2.7161058976118966,4.486152437628789
1539731780428014,-6.500343327992596,1.8005645838102282,3.570611123826893
1539731780444016,-8.697642481116873,0.5798428320745188,2.9602502479590385
1539731780460022,-6.744487678339738,-0.213626306553806,3.1433585107195086
1539731780476023,-2.7771419851987957,-0.6408789196611906,3.997863736934505
1539731780492025,-0.3967345693140487,-1.6174563210497581,4.669260700389032
1539731780508027,-3.814755474174035,-3.2043945983061803,4.058899824521177
1539731780524028,-8.697642481116873,-4.242008087281647,2.105745021744042
1539731780540030,-9.369039444571627,-4.791332875562603,0.7019150072480898
1539731780556032,-5.2185854886702145,-5.401693751430457,0.5188067444876197
1539731780572034,-1.2512397955290453,-6.195162890058782,0.45777065690094787
1539731780588035,-3.997863736934505,-7.232776379034021,-0.45777065690094787
1539731780604037,-11.20012207217519,-7.965209430075447,-2.166781109330941
1539731780620039,-18.341344319828977,-8.697642481116873,-3.875791561760934
1539731780636040,-19.501029983978015,-9.124895094224485,-4.852368963149502
