Timestamp (microseconds),Sample (V)
1539732492738189,0.002538719768062858
1539732492742191,9.231708247514625E-6
1539732492746194,3.108008443325483E-4
1539732492750196,0.0020832888278528028
1539732492754198,0.002150988021667799
1539732492758200,0.0016770936649627421
1539732492762202,0.0015355408051677122
1539732492766204,0.001473996083517698
1539732492770206,0.0014062968897027017
1539732492774208,0.001326288751557686
1539732492778210,0.0012832074464026733
1539732492782212,0.0012585895577426898
1539732492786214,0.001221662724752659
1539732492790217,0.001141654586607671
1539732492794219,0.0010554919762976456
1539732492798221,0.0010554919762976456
1539732492802223,0.0010493375041326358
1539732492806225,0.0010247196154726523
1539732492810227,0.0010185651433076426
1539732492814229,0.0010124106711426328
1539732492818231,0.0010062561989776508
1539732492822233,9.816383103176396E-4
1539732492826235,9.631748938226381E-4
1539732492830237,9.631748938226381E-4
1539732492834240,9.570204216576284E-4
1539732492838242,9.447114773276366E-4
1539732492842244,9.262480608326351E-4
1539732492846246,9.200935886676254E-4
1539732492850248,9.262480608326351E-4
1539732492854250,9.077846443376336E-4
1539732492858252,8.893212278426321E-4
1539732492862254,8.954757000076141E-4
1539732492866256,8.893212278426321E-4
1539732492870258,8.893212278426321E-4
1539732492874261,8.770122835126126E-4
1539732492878263,8.708578113476306E-4
1539732492882265,8.831667556776224E-4
1539732492886267,8.708578113476306E-4
1539732492890269,8.585488670176111E-4
1539732492894271,8.647033391826209E-4
1539732492898273,8.585488670176111E-4
1539732492902275,8.585488670176111E-4
1539732492906277,8.523943948526291E-4
1539732492910279,8.400854505226096E-4
1539732492914281,8.523943948526291E-4
1539732492918284,8.585488670176111E-4
1539732492922286,8.400854505226096E-4
1539732492926288,8.400854505226096E-4
1539732492930290,8.523943948526291E-4
1539732492934292,8.523943948526291E-4
1539732492938294,8.339309783576276E-4
1539732492942296,8.400854505226096E-4
1539732492946298,8.400854505226096E-4
1539732492950300,8.400854505226096E-4
1539732492954302,8.339309783576276E-4
1539732492958305,8.277765061926179E-4
1539732492962307,8.339309783576276E-4
1539732492966309,8.462399226876194E-4
1539732492970311,8.400854505226096E-4
1539732492974313,8.277765061926179E-4
1539732492978315,8.339309783576276E-4
1539732492982317,8.400854505226096E-4
1539732492986319,8.400854505226096E-4
1539732492990321,8.339309783576276E-4
1539732492994323,8.400854505226096E-4
1539732492998325,8.400854505226096E-4
1539732493002328,8.400854505226096E-4
1539732493006330,8.400854505226096E-4
1539732493010332,8.339309783576276E-4
1539732493014334,8.400854505226096E-4
1539732493018336,8.400854505226096E-4
1539732493022338,8.339309783576276E-4
1539732493026340,8.339309783576276E-4
1539732493030342,8.400854505226096E-4
1539732493034344,8.400854505226096E-4
1539732493038346,8.339309783576276E-4
1539732493042348,8.277765061926179E-4
1539732493046351,8.339309783576276E-4
1539732493050353,8.400854505226096E-4
1539732493054355,8.400854505226096E-4
1539732493058357,8.400854505226096E-4
1539732493062359,8.462399226876194E-4
1539732493066361,8.400854505226096E-4
1539732493070363,8.462399226876194E-4
1539732493074365,8.339309783576276E-4
1539732493078367,8.462399226876194E-4
1539732493082369,8.523943948526291E-4
1539732493086372,8.523943948526291E-4
1539732493090374,8.400854505226096E-4
1539732493094376,8.400854505226096E-4
1539732493098378,8.523943948526291E-4
1539732493102380,8.462399226876194E-4
1539732493106382,8.400854505226096E-4
1539732493110384,8.339309783576276E-4
1539732493114386,8.523943948526291E-4
1539732493118388,8.523943948526291E-4
1539732493122390,8.339309783576276E-4
1539732493126392,8.339309783576276E-4
1539732493130395,8.462399226876194E-4
1539732493134397,8.462399226876194E-4
1539732493138399,8.462399226876194E-4
1539732493142401,8.462399226876194E-4
1539732493146403,8.523943948526291E-4
1539732493150405,8.462399226876194E-4
1539732493154407,8.400854505226096E-4
1539732493158409,8.400854505226096E-4
1539732493162411,8.462399226876194E-4
1539732493166413,8.523943948526291E-4
1539732493170416,8.462399226876194E-4
1539732493174418,8.400854505226096E-4
1539732493178420,8.523943948526291E-4
1539732493182422,8.585488670176111E-4
1539732493186424,8.647033391826209E-4
1539732493190426,8.523943948526291E-4
1539732493194428,8.585488670176111E-4
1539732493198430,8.647033391826209E-4
1539732493202432,8.585488670176111E-4
1539732493206434,8.585488670176111E-4
1539732493210436,8.647033391826209E-4
1539732493214439,8.647033391826209E-4
1539732493218441,8.647033391826209E-4
1539732493222443,8.216220340276081E-4
1539732493226440,8.154675618626261E-4
1539732493230442,8.523943948526291E-4
1539732493234444,8.708578113476306E-4
1539732493238446,8.770122835126126E-4
1539732493242448,8.647033391826209E-4
1539732493246451,8.770122835126126E-4
1539732493250453,8.831667556776224E-4
1539732493254455,8.831667556776224E-4
1539732493258457,8.770122835126126E-4
1539732493262459,8.770122835126126E-4
1539732493266461,8.893212278426321E-4
1539732493270463,8.893212278426321E-4
1539732493274465,8.708578113476306E-4
1539732493278467,8.770122835126126E-4
1539732493282469,8.893212278426321E-4
1539732493286471,8.770122835126126E-4
1539732493290474,8.708578113476306E-4
1539732493294476,8.770122835126126E-4
1539732493298478,8.770122835126126E-4
1539732493302480,8.831667556776224E-4
1539732493306482,8.770122835126126E-4
1539732493310484,8.708578113476306E-4
1539732493314486,8.831667556776224E-4
1539732493318488,8.770122835126126E-4
1539732493322490,8.708578113476306E-4
1539732493326492,8.708578113476306E-4
1539732493330495,8.770122835126126E-4
1539732493334497,8.954757000076141E-4
1539732493338499,8.770122835126126E-4
1539732493342501,8.770122835126126E-4
1539732493346503,8.893212278426321E-4
1539732493350505,8.831667556776224E-4
1539732493354507,8.831667556776224E-4
1539732493358509,8.770122835126126E-4
1539732493362511,8.831667556776224E-4
1539732493366513,8.770122835126126E-4
1539732493370515,8.831667556776224E-4
1539732493374518,8.647033391826209E-4
1539732493378520,8.770122835126126E-4
1539732493382522,8.770122835126126E-4
1539732493386524,8.708578113476306E-4
1539732493390526,8.647033391826209E-4
1539732493394528,8.708578113476306E-4
1539732493398530,8.770122835126126E-4
1539732493402532,8.770122835126126E-4
1539732493406534,8.647033391826209E-4
1539732493410536,8.647033391826209E-4
1539732493414538,8.770122835126126E-4
1539732493418541,8.770122835126126E-4
1539732493422543,8.708578113476306E-4
1539732493426545,8.647033391826209E-4
1539732493430547,8.770122835126126E-4
1539732493434549,8.770122835126126E-4
1539732493438551,8.770122835126126E-4
1539732493442553,8.831667556776224E-4
1539732493446555,8.893212278426321E-4
1539732493450557,8.954757000076141E-4
1539732493454559,8.831667556776224E-4
1539732493458562,8.770122835126126E-4
1539732493462564,8.831667556776224E-4
1539732493466566,8.954757000076141E-4
1539732493470568,8.893212278426321E-4
1539732493474570,8.831667556776224E-4
1539732493478572,8.831667556776224E-4
1539732493482574,8.893212278426321E-4
1539732493486576,8.831667556776224E-4
1539732493490578,8.893212278426321E-4
1539732493494580,8.831667556776224E-4
1539732493498582,8.954757000076141E-4
1539732493502585,8.954757000076141E-4
1539732493506587,8.770122835126126E-4
1539732493510589,8.831667556776224E-4
1539732493514591,8.954757000076141E-4
1539732493518593,8.954757000076141E-4
1539732493522595,8.831667556776224E-4
1539732493526597,8.831667556776224E-4
1539732493530599,8.954757000076141E-4
1539732493534601,8.954757000076141E-4
1539732493538603,8.954757000076141E-4
1539732493542606,8.831667556776224E-4
1539732493546608,8.954757000076141E-4
1539732493550610,8.954757000076141E-4
1539732493554612,8.893212278426321E-4
1539732493558614,8.831667556776224E-4
1539732493562616,8.954757000076141E-4
1539732493566618,9.016301721726239E-4
1539732493570620,8.954757000076141E-4
1539732493574622,8.893212278426321E-4
1539732493578624,8.893212278426321E-4
1539732493582626,8.954757000076141E-4
1539732493586629,8.954757000076141E-4
1539732493590631,8.893212278426321E-4
1539732493594633,8.954757000076141E-4
1539732493598635,8.954757000076141E-4
1539732493602637,9.016301721726239E-4
1539732493606639,8.893212278426321E-4
1539732493610641,8.954757000076141E-4
1539732493614643,8.954757000076141E-4
1539732493618645,9.016301721726239E-4
1539732493622647,8.954757000076141E-4
1539732493626649,8.893212278426321E-4
1539732493630652,8.954757000076141E-4
1539732493634654,8.954757000076141E-4
1539732493638656,8.954757000076141E-4
1539732493642658,8.893212278426321E-4
1539732493646660,8.954757000076141E-4
1539732493650662,9.016301721726239E-4
1539732493654664,9.077846443376336E-4
1539732493658666,8.954757000076141E-4
1539732493662668,9.077846443376336E-4
1539732493666670,9.077846443376336E-4
1539732493670673,9.016301721726239E-4
1539732493674675,9.077846443376336E-4
1539732493678677,9.693293659876479E-4
1539732493682679,9.693293659876479E-4
1539732493686681,9.570204216576284E-4
1539732493690683,9.324025329976449E-4
1539732493694685,9.016301721726239E-4
1539732493698687,9.324025329976449E-4
1539732493702689,9.508659494926464E-4
1539732493706691,9.324025329976449E-4
1539732493710693,9.385570051626269E-4
1539732493714752,9.262480608326351E-4
1539732493718754,8.954757000076141E-4
1539732493722757,9.200935886676254E-4
1539732493726760,9.262480608326351E-4
1539732493730762,9.324025329976449E-4
1539732493734765,9.200935886676254E-4
1539732493738767,9.077846443376336E-4
1539732493742770,9.200935886676254E-4
1539732493746772,9.324025329976449E-4
1539732493750775,9.324025329976449E-4
1539732493754778,9.200935886676254E-4
1539732493758780,9.262480608326351E-4
1539732493762783,9.200935886676254E-4
1539732493766785,9.262480608326351E-4
1539732493770788,9.262480608326351E-4
1539732493774790,9.262480608326351E-4
1539732493778793,9.262480608326351E-4
1539732493782796,9.262480608326351E-4
1539732493786798,9.324025329976449E-4
1539732493790801,9.200935886676254E-4
1539732493794803,9.200935886676254E-4
1539732493798806,9.324025329976449E-4
1539732493802808,9.385570051626269E-4
1539732493806811,9.262480608326351E-4
1539732493810814,9.200935886676254E-4
1539732493814816,9.385570051626269E-4
1539732493818819,9.324025329976449E-4
1539732493822821,9.200935886676254E-4
1539732493826824,9.200935886676254E-4
1539732493830826,9.385570051626269E-4
1539732493834829,9.385570051626269E-4
1539732493838832,9.324025329976449E-4
1539732493842834,9.262480608326351E-4
1539732493846837,9.324025329976449E-4
1539732493850839,9.324025329976449E-4
1539732493854842,9.324025329976449E-4
1539732493858844,9.262480608326351E-4
1539732493862847,9.262480608326351E-4
1539732493866850,9.324025329976449E-4
1539732493870852,9.262480608326351E-4
1539732493874855,9.200935886676254E-4
1539732493878857,9.262480608326351E-4
1539732493882860,9.324025329976449E-4
1539732493886862,9.385570051626269E-4
1539732493890865,9.262480608326351E-4
1539732493894868,9.139391165026156E-4
1539732493898870,9.324025329976449E-4
1539732493902873,9.447114773276366E-4
1539732493906875,9.324025329976449E-4
1539732493910878,9.385570051626269E-4
1539732493914880,9.385570051626269E-4
1539732493918883,9.385570051626269E-4
1539732493922886,9.324025329976449E-4
1539732493926888,9.324025329976449E-4
1539732493930891,9.385570051626269E-4
1539732493934893,9.447114773276366E-4
1539732493938896,9.385570051626269E-4
1539732493942898,9.324025329976449E-4
1539732493946901,9.324025329976449E-4
1539732493950904,9.385570051626269E-4
1539732493954906,9.385570051626269E-4
1539732493958909,9.324025329976449E-4
1539732493962911,9.447114773276366E-4
1539732493966914,9.447114773276366E-4
