Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1539731597761383,3.0212863355459376,-4.852368963149502,-7.354848554207592
1539731597777385,2.532997634851654,-3.2654306858930795,-7.17174029144735
1539731597793388,2.227817196917613,-1.6784924086366573,-6.927595941100208
1539731597809391,2.4719615472647547,-0.03051804379333589,-6.683451590753066
1539731597825393,2.8381780727854675,1.8005645838102282,-6.073090714885211
1539731597841396,2.8992141603723667,3.5095750362402214,-4.9134050507361735
1539731597857399,1.9226367589837992,4.791332875562603,-3.1433585107195086
1539731597873401,0.7019150072480898,4.9134050507361735,-0.8850232700083325
1539731597889404,0.33569848172737693,3.875791561760934,1.3733119707026162
1539731597905407,1.0681315327688026,2.227817196917613,3.5095750362402214
1539731597921409,1.6784924086366573,0.33569848172737693,5.95101853971164
1539731597937412,1.3733119707026162,-1.5564202334630863,8.33142595559616
1539731597953415,0.5798428320745188,-3.6316472114137923,10.406652933546866
1539731597969417,0.213626306553806,-5.645838101777599,11.871519035629717
1539731597985420,0.2746623941404778,-7.232776379034021,11.688410772869474
1539731598001423,0.5798428320745188,-7.660028992141633,10.162508583199724
1539731598017425,0.5798428320745188,-7.354848554207592,7.843137254901876
1539731598033428,0.7019150072480898,-6.9886320286868795,5.523765926604028
1539731598049430,1.0681315327688026,-6.805523765926637,3.692683299000464
1539731598065433,1.0681315327688026,-6.439307240405924,2.4719615472647547
1539731598081451,0.09155413138023505,-5.401693751430457,1.4343480582895154
1539731598097454,-1.0070954451819034,-3.936827649347606,0.33569848172737693
1539731598113456,-1.0070954451819034,-2.7161058976118966,-0.33569848172737693
1539731598129459,-0.03051804379333589,-2.04470893415737,-0.213626306553806
1539731598145462,0.5188067444876197,-1.6784924086366573,0.9460593575952316
1539731598161464,-0.09155413138023505,-1.1291676203554744,2.532997634851654
1539731598177467,-1.0070954451819034,-0.3967345693140487,4.119935912108076
1539731598193470,-1.2512397955290453,-0.03051804379333589,5.828946364538069
1539731598209472,-1.1902037079423735,-0.09155413138023505,7.232776379034021
1539731598225475,-1.1291676203554744,-0.3967345693140487,8.026245517662346
1539731598241478,-1.0681315327688026,-0.8239871824216607,8.6366063935302
1539731598257480,-0.9460593575952316,-1.2512397955290453,9.002822919050914
1539731598273483,-0.6408789196611906,-1.983672846570471,8.880750743877343
1539731598289486,-0.6408789196611906,-2.9602502479590385,8.575570305943302
1539731598305488,-0.8239871824216607,-4.119935912108076,7.904173342488775
1539731598321491,-1.1902037079423735,-5.2185854886702145,6.683451590753066
1539731598337494,-1.0070954451819034,-6.134126802471883,4.9134050507361735
1539731598353496,-0.15259021896690683,-6.9886320286868795,2.8992141603723667
1539731598369499,0.45777065690094787,-7.598992904554734,1.1291676203554744
1539731598385501,0.2746623941404778,-7.660028992141633,-0.33569848172737693
1539731598401489,-0.45777065690094787,-7.232776379034021,-1.4343480582895154
1539731598417492,-0.45777065690094787,-6.927595941100208,-2.227817196917613
1539731598433494,0.3967345693140487,-6.927595941100208,-2.7161058976118966
1539731598449497,1.2512397955290453,-7.17174029144735,-2.8992141603723667
1539731598465500,1.1902037079423735,-6.927595941100208,-2.5940337224383256
1539731598481502,0.09155413138023505,-5.889982452124741,-2.227817196917613
1539731598497505,-1.0681315327688026,-4.730296787975931,-1.6784924086366573
1539731598513507,-1.3733119707026162,-3.875791561760934,-0.9460593575952316
1539731598529510,-1.1902037079423735,-3.692683299000464,0.09155413138023505
1539731598545513,-1.739528496223329,-3.692683299000464,1.4953841458761872
1539731598561515,-3.570611123826893,-3.692683299000464,3.0823224231326094
1539731598577518,-5.645838101777599,-3.6316472114137923,4.364080262455218
1539731598593521,-7.2938124666209205,-4.242008087281647,5.279621576256886
1539731598609523,-11.688410772869474,-4.730296787975931,6.622415503166167
1539731598625526,-15.533684290836845,-5.76791027695117,7.598992904554734
1539731598641529,-18.280308232242305,-7.17174029144735,7.354848554207592
1539731598657531,-19.501029983978015,-9.002822919050914,6.744487678339738
1539731598673534,-21.45418478675515,-10.345616845960194,6.195162890058782
1539731598689537,-23.346303501945386,-11.505302510109004,5.645838101777599
1539731598705539,-22.980086976424673,-12.603952086671143,4.486152437628789
1539731598721710,-20.294499122606112,-13.76363775082018,2.9602502479590385
1539731598737713,-16.754406042572555,-14.862287327382319,1.2512397955290453
1539731598753716,-13.885709925993751,-16.08300907911803,-0.33569848172737693
1539731598769719,-12.054627298390187,-17.181658655680167,-1.4953841458761872
1539731598785722,-11.139085984588291,-17.853055619134693,-2.166781109330941
1539731598801725,-11.383230334935433,-18.158236057068734,-2.3498893720911838
1539731598817729,-12.542915999084471,-18.158236057068734,-2.227817196917613
1539731598833732,-14.496070801861606,-17.914091706721592,-1.9226367589837992
1539731598849735,-16.876478217746126,-17.24269474326684,-2.04470893415737
1539731598865738,-18.646524757763018,-16.388189517051842,-2.7161058976118966
1539731598881741,-18.89066910811016,-15.411612115663274,-3.7537193865873633
1539731598897744,-17.79201953154802,-14.557106889448278,-4.9134050507361735
1539731598913747,-15.777828641183987,-13.824673838406852,-6.134126802471883
1539731598929751,-13.275349050125897,-12.970168612191856,-6.927595941100208
1539731598945754,-11.07804989700162,-11.993591210803288,-7.4158846417944915
1539731598961757,-9.55214770733187,-11.07804989700162,-7.476920729381163
1539731598977760,-8.51453421835663,-10.345616845960194,-6.805523765926637
1539731598993763,-6.9886320286868795,-10.040436408026153,-5.157549401083315
1539731599009766,-5.95101853971164,-9.613183794918768,-2.8992141603723667
1539731599025769,-6.134126802471883,-8.941786831464015,-0.2746623941404778
1539731599041961,-6.561379415579495,-7.904173342488775,2.166781109330941
1539731599057965,-6.256198977645454,-6.805523765926637,4.180971999694748
1539731599073969,-5.2185854886702145,-5.76791027695117,6.073090714885211
1539731599089974,-3.936827649347606,-5.096513313496644,7.904173342488775
1539731599105978,-2.8992141603723667,-4.791332875562603,9.613183794918768
1539731599121982,-2.4719615472647547,-4.303044174868319,11.01701380941472
1539731599137986,-2.5940337224383256,-3.3875028610666504,11.993591210803288
1539731599153990,-2.3498893720911838,-2.04470893415737,12.481879911497572
1539731599169994,-2.532997634851654,-0.5188067444876197,12.787060349431613
1539731599185998,-2.9602502479590385,1.1291676203554744,12.909132524605184
1539731599202002,-3.2043945983061803,2.4719615472647547,12.848096437018285
1539731599218006,-2.8992141603723667,3.0823224231326094,12.726024261844714
1539731599234010,-2.532997634851654,3.2043945983061803,12.4208438239109
1539731599250014,-2.410925459678083,3.3875028610666504,11.749446860456146
1539731599266018,-2.410925459678083,3.875791561760934,10.528725108720437
1539731599282023,-1.983672846570471,4.486152437628789,9.491111619745197
1539731599298027,-1.5564202334630863,4.852368963149502,8.575570305943302
1539731599314031,-1.6784924086366573,5.096513313496644,7.598992904554734
1539731599330035,-2.7161058976118966,5.828946364538069,6.256198977645454
1539731599346039,-3.3264667734797513,6.561379415579495,4.974441138323073
1539731599362182,-2.410925459678083,6.378271152819025,4.364080262455218
1539731599378187,-0.8239871824216607,5.0354772259097444,4.42511635004189
1539731599394191,-0.09155413138023505,3.2654306858930795,4.791332875562603
1539731599410196,-0.5798428320745188,2.04470893415737,4.9134050507361735
1539731599426200,-1.5564202334630863,1.3733119707026162,4.974441138323073
1539731599442205,-1.983672846570471,0.45777065690094787,4.852368963149502
1539731599458210,-2.105745021744042,-0.8239871824216607,4.852368963149502
1539731599474214,-2.166781109330941,-2.410925459678083,4.791332875562603
1539731599490219,-2.4719615472647547,-3.875791561760934,4.547188525215461
1539731599506223,-2.7771419851987957,-4.974441138323073,3.7537193865873633
1539731599522228,-2.3498893720911838,-5.523765926604028,2.166781109330941
1539731599538232,-0.9460593575952316,-5.828946364538069,0.45777065690094787
1539731599554237,0.213626306553806,-5.95101853971164,-0.5188067444876197
1539731599570242,-0.2746623941404778,-5.95101853971164,-1.1902037079423735
1539731599586246,-1.739528496223329,-5.462729839017356,-1.8616006713969
1539731599602251,-2.288853284504512,-4.791332875562603,-2.5940337224383256
1539731599618255,-1.1902037079423735,-4.303044174868319,-3.1433585107195086
1539731599634260,-0.03051804379333589,-4.242008087281647,-3.2043945983061803
1539731599650264,0.03051804379333589,-4.180971999694748,-2.7161058976118966
1539731599666269,-0.5798428320745188,-4.058899824521177,-1.983672846570471
1539731599682434,-0.8850232700083325,-3.7537193865873633,-1.4343480582895154
1539731599698439,-0.7629510948347615,-3.2043945983061803,-1.3122758831159445
1539731599714444,-0.5188067444876197,-2.655069810025225,-1.3122758831159445
1539731599730449,-0.09155413138023505,-2.4719615472647547,-0.9460593575952316
1539731599746454,0.15259021896690683,-2.288853284504512,-0.33569848172737693
1539731599762459,-0.15259021896690683,-1.9226367589837992,0.15259021896690683
1539731599778464,-0.213626306553806,-1.2512397955290453,0.3967345693140487
1539731599794469,-0.03051804379333589,-0.7019150072480898,0.5188067444876197
1539731599810474,0.33569848172737693,-0.45777065690094787,0.8239871824216607
1539731599826479,0.7019150072480898,-0.6408789196611906,1.4953841458761872
