Timestamp (microseconds),Sample (V)
1539131030384979,-0.07249660486762799
1539131030388980,-0.05415012334376035
1539131030392981,-0.03756382085908294
1539131030396982,-0.02988303959716182
1539131030400983,-0.023199282825970863
1539131030404985,-0.0180233717352051
1539131030408986,-0.0153523308155947
1539131030412987,-0.014336842908369563
1539131030416988,-0.013635233081559478
1539131030420989,-0.0131305663640294
1539131030424990,-0.012656672007324343
1539131030428991,-0.012164314234124257
1539131030432993,-0.011702728821749192
1539131030436994,-0.011431932046489152
1539131030440995,-0.01114882632689912
1539131030444996,-0.010908801912464072
1539131030448997,-0.01062569619287404
1539131030452998,-0.01036105388977901
1539131030456999,-0.010077948170188977
1539131030461001,-0.009893314005238935
1539131030465002,-0.00973329772894893
1539131030469003,-0.0095732814526589
1539131030473004,-0.00945634648152388
1539131030477005,-0.009314793621728823
1539131030481006,-0.009136313928943818
1539131030485007,-0.00903168790213879
1539131030489009,-0.008970143180488777
1539131030493010,-0.008877826098013769
1539131030497011,-0.008717809821723765
1539131030501012,-0.008619338267083748
1539131030505013,-0.008613183794918738
1539131030509014,-0.008527021184608713
1539131030513015,-0.008416240685638704
1539131030517017,-0.008274687825843702
1539131030521018,-0.00825006993718369
1539131030525019,-0.008274687825843702
1539131030529020,-0.008237760992853671
1539131030533021,-0.008157752854708683
1539131030537022,-0.008065435772233648
1539131030541023,-0.008028508939243645
1539131030545024,-0.00797927316192365
1539131030549026,-0.007905419495943644
1539131030553027,-0.00798542763408866
1539131030557028,-0.007917728440273636
1539131030561029,-0.007868492662953641
1539131030565030,-0.007825411357798628
1539131030569031,-0.007733094275323621
1539131030573032,-0.007763866636148614
1539131030577034,-0.007813102413468637
1539131030581035,-0.007770021108313624
1539131030585036,-0.007720785330993601
1539131030589037,-0.0076777040258386164
1539131030593038,-0.0076407771928486135
1539131030597039,-0.007653086137178605
1539131030601040,-0.007634622720683604
1539131030605042,-0.007591541415528591
1539131030609043,-0.00756692352686858
1539131030613044,-0.007554614582538588
1539131030617045,-0.007560769054703598
1539131030621046,-0.007597695887693601
1539131030625047,-0.007554614582538588
1539131030629048,-0.007511533277383575
1539131030633050,-0.007505378805218593
1539131030637051,-0.0074992243330535835
1539131030641052,-0.007474606444393572
1539131030645053,-0.0074992243330535835
1539131030649054,-0.007505378805218593
1539131030653055,-0.007480760916558582
1539131030657056,-0.007493069860888574
1539131030661058,-0.007474606444393572
1539131030665059,-0.0074684519722285625
1539131030669060,-0.007437679611403569
1539131030673061,-0.0074253706670735775
1539131030677062,-0.007406907250578576
1539131030681063,-0.007437679611403569
1539131030685064,-0.007406907250578576
1539131030689066,-0.007419216194908568
1539131030693067,-0.007449988555733561
1539131030697068,-0.0074253706670735775
1539131030701069,-0.007369980417588573
1539131030705070,-0.007296126751608539
1539131030709071,-0.007449988555733561
1539131030713072,-0.007456143027898571
1539131030717074,-0.007400752778413566
1539131030721075,-0.0073515170010935715
1539131030725076,-0.0073576714732585535
1539131030729077,-0.007363825945423563
1539131030733078,-0.0073945983062485565
1539131030737079,-0.007437679611403569
1539131030741080,-0.007406907250578576
1539131030745082,-0.007376134889753555
1539131030749083,-0.00732689911243356
1539131030753084,-0.00732689911243356
1539131030757085,-0.007369980417588573
1539131030761086,-0.007369980417588573
1539131030765087,-0.007382289361918565
1539131030769088,-0.007376134889753555
1539131030773090,-0.00733305358459857
1539131030777091,-0.0073576714732585535
1539131030781092,-0.007376134889753555
1539131030785093,-0.007363825945423563
1539131030789094,-0.007376134889753555
1539131030793095,-0.0073576714732585535
1539131030797096,-0.0073207446402685505
1539131030801097,-0.0073576714732585535
1539131030805099,-0.007382289361918565
1539131030809100,-0.00733305358459857
1539131030813101,-0.007308435695938559
1539131030817102,-0.0073207446402685505
1539131030821103,-0.007419216194908568
1539131030825104,-0.007376134889753555
1539131030829105,-0.007345362528928562
1539131030833107,-0.007339208056763552
1539131030837108,-0.00732689911243356
1539131030841109,-0.007308435695938559
1539131030845110,-0.007369980417588573
1539131030849111,-0.007369980417588573
1539131030853112,-0.007376134889753555
1539131030857113,-0.007376134889753555
1539131030861115,-0.00733305358459857
1539131030865116,-0.007259199918618536
1539131030869117,-0.00732689911243356
1539131030873169,-0.007363825945423563
1539131030877170,-0.007406907250578576
